Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Anderson University;Doctor's degree research;Private not-for-profit;2734;1516;444;26280;2442
Bethel College-Indiana;Master's degree;Private not-for-profit;1242;889;250;24970;1804
Butler University;Doctor's degree practice;Private not-for-profit;9357;6185;1015;34368;4827
DePauw University;Bachelor's degree;Private not-for-profit;5086;3113;641;40640;2304
Earlham College;Master's degree;Private not-for-profit;1890;1204;254;41450;1159
University of Evansville;Doctor's degree practice;Private not-for-profit;2935;2468;543;30596;2630
Franklin College;Bachelor's degree;Private not-for-profit;2221;1333;296;27695;1014
Goshen College;Master's degree;Private not-for-profit;770;424;167;28500;888
Grace College and Theological Seminary;Doctor's degree other;Private not-for-profit;3450;2720;347;23970;1904
Hanover College;Bachelor's degree;Private not-for-profit;3174;2118;334;31760;1163
Holy Cross College;Bachelor's degree;Private not-for-profit;715;517;157;25450;524
Huntington University;Master's degree;Private not-for-profit;784;763;227;24040;1124
University of Indianapolis;Doctor's degree practice;Private not-for-profit;5313;4486;830;24660;5452
Manchester University;Doctor's degree practice;Private not-for-profit;2195;1562;359;27920;1349
Marian University;Doctor's degree practice;Private not-for-profit;2064;1196;338;28400;2714
Indiana Wesleyan University;Doctor's degree research and practice;Private not-for-profit;3441;3274;1437;23628;14959
University of Notre Dame;Doctor's degree research and practice;Private not-for-profit;17647;3936;2070;44605;12124
Oakland City University;Doctor's degree research;Private not-for-profit;652;475;108;19200;2418
University of Saint Francis-Fort Wayne;Master's degree;Private not-for-profit;1908;1023;388;;2381
Saint Josephs College;Master's degree;Private not-for-profit;1639;1052;273;;1163
Saint Mary-of-the-Woods College;Master's degree;Private not-for-profit;325;317;64;;887
Saint Mary's College;Bachelor's degree;Private not-for-profit;1529;1310;437;34600;1479
Taylor University;Master's degree;Private not-for-profit;1637;1434;459;28753;2245
Trine University;Master's degree;Private not-for-profit;2867;2052;421;28850;1875
Valparaiso University;Doctor's degree research and practice;Private not-for-profit;6124;4880;876;33480;4508
Central College;Bachelor's degree;Private not-for-profit;2842;1870;309;30700;1386
Clarke University;Doctor's degree practice;Private not-for-profit;1250;969;181;28000;1225
Coe College;Master's degree;Private not-for-profit;2972;1834;390;35730;1419
Cornell College;Bachelor's degree;Private not-for-profit;2204;1413;261;36430;1125
Dordt College;Master's degree;Private not-for-profit;1355;1022;381;26540;1430
Drake University;Doctor's degree research and practice;Private not-for-profit;5930;3911;850;30889;5139
University of Dubuque;Doctor's degree research;Private not-for-profit;1457;1128;447;25520;2023
Graceland University-Lamoni;Doctor's degree other;Private not-for-profit;1981;994;326;23530;2286
Grand View University;Master's degree;Private not-for-profit;807;770;298;22628;2129
Grinnell College;Bachelor's degree;Private not-for-profit;3979;1395;423;43656;1721
Iowa Wesleyan College;Bachelor's degree;Private not-for-profit;1319;793;103;25550;599
Loras College;Master's degree;Private not-for-profit;1873;1293;414;28852;1621
Luther College;Bachelor's degree;Private not-for-profit;3490;2517;628;37530;2466
Northwestern College;Bachelor's degree;Private not-for-profit;1221;929;284;26764;1233
Wartburg College;Bachelor's degree;Private not-for-profit;2268;1761;451;34250;1714
William Penn University;Master's degree;Private not-for-profit;836;482;264;23210;1875
Baker University;Doctor's degree research;Private not-for-profit;870;756;235;25580;3076
Benedictine College;Master's degree;Private not-for-profit;3515;2129;494;23900;2177
Bethany College;Bachelor's degree;Private not-for-profit;1139;670;184;23305;665
Bethel College-North Newton;Bachelor's degree;Private not-for-profit;854;550;123;23500;482
Central Christian College of Kansas;Bachelor's degree;Private not-for-profit;662;334;131;14800;1037
Friends University;Master's degree;Private not-for-profit;737;432;184;23430;2178
Newman University;Master's degree;Private not-for-profit;2348;1050;165;23650;3736
Kansas Wesleyan University;Master's degree;Private not-for-profit;689;370;151;23800;729
McPherson College;Master's degree;Private not-for-profit;642;556;170;22891;656
MidAmerica Nazarene University;Master's degree;Private not-for-profit;1012;731;198;22290;1907
Ottawa University-Ottawa;Master's degree;Private not-for-profit;267;264;145;23964;558
University of Saint Mary;Doctor's degree practice;Private not-for-profit;767;361;109;23170;1325
Southwestern College;Doctor's degree other;Private not-for-profit;436;391;128;23886;1661
Sterling College;Bachelor's degree;Private not-for-profit;883;389;169;21200;690
Tabor College;Master's degree;Private not-for-profit;517;380;159;22730;736
Alice Lloyd College;Bachelor's degree;Private not-for-profit;3656;1646;189;10620;631
Asbury University;Master's degree;Private not-for-profit;1211;796;322;26076;1797
Bellarmine University;Doctor's degree research and practice;Private not-for-profit;4160;3943;676;34890;3419
Berea College;Bachelor's degree;Private not-for-profit;1620;551;397;23170;1623
Brescia University;Master's degree;Private not-for-profit;3582;1612;150;19640;949
Campbellsville University;Master's degree;Private not-for-profit;2649;1813;525;22196;3520
Centre College;Bachelor's degree;Private not-for-profit;2533;1737;377;36020;1381
University of the Cumberlands;Doctor's degree research;Private not-for-profit;2527;1801;488;20000;4924
Georgetown College;Master's degree;Private not-for-profit;1735;1426;238;32310;1399
Kentucky Wesleyan College;Bachelor's degree;Private not-for-profit;1006;675;163;21200;657
Kentucky Christian University;Master's degree;Private not-for-profit;590;303;135;17418;594
Mid-Continent University;Master's degree;Private not-for-profit;458;322;201;8673;2251
Midway College;Master's degree;Private not-for-profit;446;240;115;22150;1351
University of Pikeville;Doctor's degree practice;Private not-for-profit;1804;1804;386;17750;2205
Spalding University;Doctor's degree research;Private not-for-profit;1094;887;402;22425;2367
Thomas More College;Master's degree;Private not-for-profit;1053;924;264;27345;1600
Transylvania University;Bachelor's degree;Private not-for-profit;1326;1275;294;31560;1082
Union College;Master's degree;Private not-for-profit;1424;1056;242;22000;1164
Centenary College of Louisiana;Master's degree;Private not-for-profit;670;442;128;30740;661
Dillard University;Bachelor's degree;Private not-for-profit;4726;1675;229;16094;1183
Louisiana College;Master's degree;Private not-for-profit;904;671;266;14120;1400
Loyola University New Orleans;Doctor's degree practice;Private not-for-profit;4827;4203;624;36860;4686
Tulane University of Louisiana;Doctor's degree research and practice;Private not-for-profit;30122;7961;1609;46930;12938
Xavier University of Louisiana;Doctor's degree practice;Private not-for-profit;4703;2560;675;20560;3121
Bowdoin College;Bachelor's degree;Private not-for-profit;7052;1054;497;45446;1795
Colby College;Bachelor's degree;Private not-for-profit;5407;1408;483;45760;1820
Husson University;Doctor's degree practice;Private not-for-profit;1581;1263;444;15130;3049
University of New England;Doctor's degree research and practice;Private not-for-profit;4231;3632;633;33145;6032
Saint Joseph's College of Maine;Master's degree;Private not-for-profit;1580;1229;290;30990;1614
Thomas College;Master's degree;Private not-for-profit;1074;778;269;22770;1522
Hood College;Master's degree;Private not-for-profit;1686;1366;281;33280;2392
Johns Hopkins University;Doctor's degree research and practice;Private not-for-profit;21336;3869;1390;45470;20918
Loyola University Maryland;Doctor's degree research and practice;Private not-for-profit;13604;7891;1096;43250;5977
Mount St Mary's University;Master's degree;Private not-for-profit;4943;3332;429;34644;2240
Notre Dame of Maryland University;Doctor's degree research and practice;Private not-for-profit;838;416;104;32050;2877
Stevenson University;Master's degree;Private not-for-profit;5318;3169;752;27082;4404
Washington College;Master's degree;Private not-for-profit;4786;3185;350;41120;1512
McDaniel College;Master's degree;Private not-for-profit;2942;2232;453;36960;3229
American International College;Doctor's degree research and practice;Private not-for-profit;1928;1307;346;30040;3657
Amherst College;Bachelor's degree;Private not-for-profit;7927;1132;466;46574;1785
Bay Path College;Master's degree;Private not-for-profit;908;523;135;29959;2357
Becker College;Bachelor's degree;Private not-for-profit;3936;2462;361;31500;1902
Bentley University;Doctor's degree research;Private not-for-profit;7493;3281;974;41110;5658
Boston College;Doctor's degree research and practice;Private not-for-profit;24538;7905;2215;45622;14309
Boston University;Doctor's degree research and practice;Private not-for-profit;44006;20071;3877;44880;32411
Brandeis University;Doctor's degree research;Private not-for-profit;9496;3517;833;45856;5825
Curry College;Master's degree;Private not-for-profit;6780;4537;643;34715;3074
Eastern Nazarene College;Master's degree;Private not-for-profit;941;525;165;27922;1478
Emerson College;Master's degree;Private not-for-profit;8198;3933;863;35730;4561
Emmanuel College;Master's degree;Private not-for-profit;6623;4006;515;34670;2436
Endicott College;Doctor's degree research;Private not-for-profit;3675;2633;629;28926;5029
Fisher College;Bachelor's degree;Private not-for-profit;2412;1513;239;27575;1930
Gordon College;Master's degree;Private not-for-profit;4009;1657;481;33230;2073
