Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Harvey Mudd College;Bachelor's degree;Private not-for-profit;3539;643;217;46509;807
Lake Erie College;Master's degree;Private not-for-profit;1158;644;205;27368;1086
Covenant College;Master's degree;Private not-for-profit;1129;644;268;29100;1173
Vaughn College of Aeronautics and Technology;Master's degree;Private not-for-profit;837;645;324;20450;1741
Claremont McKenna College;Master's degree;Private not-for-profit;5518;647;337;45625;1328
Dakota State University;Doctor's degree  research scholarship;Public;781;648;318;7506;3129
Eureka College;Bachelor's degree;Private not-for-profit;960;651;138;20060;692
University of the Ozarks;Bachelor's degree;Private not-for-profit;1061;651;159;24350;585
Southern Wesleyan University;Master's degree;Private not-for-profit;698;654;158;22200;1701
Madonna University;Doctor's degree professional practice;Private not-for-profit;1089;667;191;16340;4399
California Maritime Academy;Bachelor's degree;Public;893;668;198;6536;1045
Bethany College;Bachelor's degree;Private not-for-profit;1139;670;184;23305;665
Louisiana College;Master's degree;Private not-for-profit;904;671;266;14120;1400
Union College;Master's degree;Private not-for-profit;1287;673;178;20470;911
William Woods University;Doctor's degree  research scholarship;Private not-for-profit;897;674;208;20650;2136
Kentucky Wesleyan College;Bachelor's degree;Private not-for-profit;1006;675;163;21200;657
Nyack College;Doctor's degree professional practice;Private not-for-profit;700;677;264;23250;3082
Coker College;Master's degree;Private not-for-profit;1273;678;247;24579;1172
Lincoln Memorial University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;975;682;191;19490;3952
Pennsylvania State University-Penn State Mont Alto;Bachelor's degree;Public;827;684;325;13470;1023
Eastern Mennonite University;Master's degree;Private not-for-profit;1073;698;232;29350;1640
Concordia University-Saint Paul;Master's degree;Private not-for-profit;1359;712;287;19700;3661
Southwestern Adventist University;Master's degree;Private not-for-profit;1326;715;172;18640;808
Trevecca Nazarene University;Doctor's degree  research scholarship;Private not-for-profit;930;718;259;22330;2406
The University of Virginia's College at Wise;Bachelor's degree;Public;972;724;335;8509;2291
Paul Smiths College of Arts and Science;Bachelor's degree;Private not-for-profit;970;725;240;25261;981
MidAmerica Nazarene University;Master's degree;Private not-for-profit;1012;731;198;22290;1907
Houghton College;Master's degree;Private not-for-profit;807;735;223;27728;1100
LeTourneau University;Master's degree;Private not-for-profit;1810;736;335;25740;2729
University of Saint Joseph;Doctor's degree professional practice;Private not-for-profit;860;737;153;33417;2640
Lubbock Christian University;Master's degree;Private not-for-profit;783;743;255;18740;2002
College of Our Lady of the Elms;Master's degree;Private not-for-profit;993;744;198;30132;1678
Baker University;Doctor's degree  research scholarship;Private not-for-profit;870;756;235;25580;3076
Northwest Nazarene University;Doctor's degree other;Private not-for-profit;1227;757;261;26550;2246
University of Arkansas at Little Rock;Doctor's degree  research scholarship and professional practice;Public;1443;761;667;7094;12377
Southern Virginia University;Bachelor's degree;Private not-for-profit;763;762;226;18900;662
Sweet Briar College;Master's degree;Private not-for-profit;905;763;197;33605;710
Huntington University;Master's degree;Private not-for-profit;784;763;227;24040;1124
North Carolina Wesleyan College;Bachelor's degree;Private not-for-profit;1634;764;222;26632;1602
Chaminade University of Honolulu;Master's degree;Private not-for-profit;914;764;267;20090;2752
Southern University at New Orleans;Master's degree;Public;1563;764;684;4911;2292
MacMurray College;Bachelor's degree;Private not-for-profit;1027;769;120;22400;571
Grand View University;Master's degree;Private not-for-profit;807;770;298;22628;2129
Lyon College;Bachelor's degree;Private not-for-profit;1309;772;174;23594;592
SUNY College of Environmental Science and Forestry;Doctor's degree  research scholarship;Public;1538;777;288;7033;2229
Thomas College;Master's degree;Private not-for-profit;1074;778;269;22770;1522
University of Mary;Doctor's degree professional practice;Private not-for-profit;945;785;440;14730;2910
Hardin-Simmons University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;2091;786;415;23460;2220
Concordia University-Texas;Master's degree;Private not-for-profit;1680;787;192;25880;2565
Iowa Wesleyan College;Bachelor's degree;Private not-for-profit;1319;793;103;25550;599
Lawrence Technological University;Doctor's degree  research scholarship;Private not-for-profit;1819;794;341;28948;4002
Asbury University;Master's degree;Private not-for-profit;1211;796;322;26076;1797
John Brown University;Master's degree;Private not-for-profit;1143;798;305;22734;2596
University of Pittsburgh-Bradford;Bachelor's degree;Public;940;802;379;13078;1481
Keystone College;Bachelor's degree;Private not-for-profit;1120;807;321;21300;1595
Gwynedd Mercy University;Master's degree;Private not-for-profit;1232;812;211;29450;2371
Mount Vernon Nazarene University;Master's degree;Private not-for-profit;1279;812;302;23690;2229
Converse College;Master's degree;Private not-for-profit;1565;814;237;29124;1333
Huston-Tillotson University;Bachelor's degree;Private not-for-profit;1778;816;211;13494;973
Rivier University;Doctor's degree  research scholarship;Private not-for-profit;914;816;223;28055;2346
Medaille College;Doctor's degree professional practice;Private not-for-profit;1505;817;443;23812;2390
SUNY Maritime College;Master's degree;Public;1279;818;331;7109;1755
McMurry University;Master's degree;Private not-for-profit;1396;827;250;24296;1216
La Roche College;Master's degree;Private not-for-profit;1488;828;229;24778;1481
William Jewell College;Bachelor's degree;Private not-for-profit;1433;828;259;31000;1044
Schreiner University;Master's degree;Private not-for-profit;894;828;299;22484;1136
New College of Florida;Bachelor's degree;Public;1376;834;222;6866;793
Central Methodist University-College of Liberal Arts and Sciences;Bachelor's degree;Private not-for-profit;1285;836;291;21320;1107
Johnson State College;Master's degree;Public;864;837;225;10286;1692
Haverford College;Bachelor's degree;Private not-for-profit;3585;842;330;45426;1187
Warren Wilson College;Master's degree;Private not-for-profit;1214;845;220;29540;893
The University of Texas of the Permian Basin;Master's degree;Public;1007;846;276;5250;5131
Georgia Southwestern State University;Master's degree;Public;1245;847;376;5035;2806
Scripps College;Bachelor's degree;Private not-for-profit;2378;849;272;45564;1009
Howard Payne University;Master's degree;Private not-for-profit;1585;853;347;23200;1170
Black Hills State University;Master's degree;Public;957;854;619;7617;4464
Sul Ross State University;Master's degree;Public;1638;855;310;5436;2842
Bethany College;Master's degree;Private not-for-profit;1736;859;185;25736;726
Lewis-Clark State College;Bachelor's degree;Public;861;859;475;5786;4304
Wheeling Jesuit University;Doctor's degree professional practice;Private not-for-profit;1258;867;238;27830;1619
Drury University;Master's degree;Private not-for-profit;1076;871;325;22295;4649
University of St Francis;Doctor's degree  research scholarship;Private not-for-profit;1706;877;237;27970;3764
University of Illinois at Springfield;Doctor's degree  research scholarship;Public;1469;878;316;9178;5137
Randolph College;Master's degree;Private not-for-profit;1056;881;216;32850;682
Texas Lutheran University;Master's degree;Private not-for-profit;1734;882;346;25890;1341
Southern Adventist University;Doctor's degree professional practice;Private not-for-profit;2313;885;490;19790;3255
The College of New Rochelle;Master's degree;Private not-for-profit;1554;885;532;31260;3966
Evangel University;Master's degree;Private not-for-profit;1379;886;460;20040;2274
Spalding University;Doctor's degree  research scholarship;Private not-for-profit;1094;887;402;22425;2367
Bethel College-Indiana;Master's degree;Private not-for-profit;1242;889;250;24970;1804
Glenville State College;Bachelor's degree;Public;1198;892;315;6384;1850
Millsaps College;Master's degree;Private not-for-profit;1901;902;171;32520;804
University of Charleston;Doctor's degree professional practice;Private not-for-profit;1312;906;272;19650;1935
Concordia College-New York;Master's degree;Private not-for-profit;1358;910;153;28095;953
Huntingdon College;Bachelor's degree;Private not-for-profit;1470;923;261;23500;1110
Thomas More College;Master's degree;Private not-for-profit;1053;924;264;27345;1600
D'Youville College;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1171;926;258;22850;3150
SUNY Institute of Technology at Utica-Rome;Master's degree;Public;1954;929;274;7090;2480
Concordia University-Nebraska;Master's degree;Private not-for-profit;1299;929;282;24750;2206
Northwestern College;Bachelor's degree;Private not-for-profit;1221;929;284;26764;1233
Rocky Mountain College;Master's degree;Private not-for-profit;1396;933;238;23718;1067
Corban University;Doctor's degree other;Private not-for-profit;2896;934;222;27431;1143
Oakwood University;Master's degree;Private not-for-profit;2728;937;409;16234;1903
Centenary College;Master's degree;Private not-for-profit;1038;944;216;30540;2400
Tougaloo College;Bachelor's degree;Private not-for-profit;2661;945;153;10227;878
Bluffton University;Master's degree;Private not-for-profit;1784;947;250;28504;1146
Swarthmore College;Bachelor's degree;Private not-for-profit;6615;947;388;44718;1534
East Central University;Master's degree;Public;968;950;612;5241;4587
Virginia Military Institute;Bachelor's degree;Public;2012;952;502;14404;1675
Quincy University;Master's degree;Private not-for-profit;1078;955;275;25834;1455
Malone University;Master's degree;Private not-for-profit;1333;957;316;25678;2074
Andrews University;Doctor's degree  research scholarship;Private not-for-profit;2551;957;388;25470;3516
Freed-Hardeman University;Master's degree;Private not-for-profit;1042;959;356;20468;1811
Ave Maria University;Doctor's degree other;Private not-for-profit;1611;960;254;23000;988
Brigham Young University-Hawaii;Bachelor's degree;Private not-for-profit;2664;960;516;4770;2882
LaGrange College;Master's degree;Private not-for-profit;1648;962;271;25690;940
Siena Heights University;Master's degree;Private not-for-profit;1422;962;300;21890;2684
Clarke University;Doctor's degree professional practice;Private not-for-profit;1250;969;181;28000;1225
Walla Walla University;Master's degree;Private not-for-profit;1051;976;393;25377;1917
Clayton  State University;Master's degree;Public;2046;976;545;5153;7261
William Peace University;Bachelor's degree;Private not-for-profit;1083;984;328;23900;1007
West Virginia State University;Master's degree;Public;2202;986;418;5932;2677
Ripon College;Bachelor's degree;Private not-for-profit;1320;992;238;31604;904
Georgian Court University;Master's degree;Private not-for-profit;1276;994;275;29606;2257
Graceland University-Lamoni;Doctor's degree other;Private not-for-profit;1981;994;326;23530;2286
Avila University;Master's degree;Private not-for-profit;1629;995;182;24950;1971
Pomona College;Bachelor's degree;Private not-for-profit;7153;996;397;43580;1610
Texas Wesleyan University;Doctor's degree  research scholarship;Private not-for-profit;3336;998;273;22040;2397
Concordia University-Portland;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1790;1001;217;27492;5428
Eastern Oregon University;Master's degree;Public;1503;1007;426;7530;4157
Webster University;Doctor's degree other;Private not-for-profit;1736;1008;418;23760;17904
The College of Idaho;Master's degree;Private not-for-profit;1116;1010;292;24055;1122
University of South Carolina-Beaufort;Bachelor's degree;Public;1387;1013;410;8972;1724
McKendree University;Doctor's degree  research scholarship;Private not-for-profit;1617;1017;387;26050;3027
Pennsylvania State University-Penn State Hazleton;Bachelor's degree;Public;1179;1018;433;13550;951
Westminster College;Bachelor's degree;Private not-for-profit;1420;1021;261;21680;1026
University of Washington-Tacoma Campus;Doctor's degree  research scholarship;Public;1198;1021;410;11902;4295
Dordt College;Master's degree;Private not-for-profit;1355;1022;381;26540;1430
University of Saint Francis-Fort Wayne;Master's degree;Private not-for-profit;1908;1023;388;25180;2381
Holy Family University;Doctor's degree  research scholarship;Private not-for-profit;1350;1024;297;27100;2956
Olivet College;Master's degree;Private not-for-profit;1995;1027;301;23021;1133
Greensboro College;Master's degree;Private not-for-profit;1314;1029;200;26306;1012
Brevard College;Bachelor's degree;Private not-for-profit;2299;1032;245;25200;701
North Greenville University;Doctor's degree  research scholarship;Private not-for-profit;1782;1032;505;14772;2466
Oklahoma City University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1442;1038;351;29426;3179
Vanguard University of Southern California;Master's degree;Private not-for-profit;1495;1043;392;29250;2415
College of Mount St Joseph;Doctor's degree other;Private not-for-profit;1197;1048;324;25800;2326
Newman University;Master's degree;Private not-for-profit;2348;1050;165;23650;3736
Saint Josephs College;Master's degree;Private not-for-profit;1639;1052;273;27350;1163
Regent University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1238;1054;231;15838;5693
Mount Olive College;Bachelor's degree;Private not-for-profit;2117;1054;333;17300;3414
Bowdoin College;Bachelor's degree;Private not-for-profit;7052;1054;497;45446;1795
Union College;Master's degree;Private not-for-profit;1424;1056;242;22000;1164
Chestnut Hill College;Doctor's degree professional practice;Private not-for-profit;1829;1058;192;31170;2189
Pacific Union College;Master's degree;Private not-for-profit;2103;1063;335;27480;1647
Mount Aloysius College;Master's degree;Private not-for-profit;1546;1063;379;20268;1835
Northern State University;Master's degree;Public;1157;1080;410;7563;3275
Bryn Mawr College;Doctor's degree  research scholarship;Private not-for-profit;2708;1081;365;43900;1738
Shorter University;Master's degree;Private not-for-profit;1597;1087;309;19670;1629
Presbyterian College;Doctor's degree professional practice;Private not-for-profit;1650;1089;296;33650;1433
Emory & Henry College;Master's degree;Private not-for-profit;1663;1093;267;28966;959
Meredith College;Master's degree;Private not-for-profit;1762;1098;415;30562;1872
University of Dallas;Doctor's degree  research scholarship;Private not-for-profit;1224;1103;380;33110;2598
Belhaven University;Master's degree;Private not-for-profit;2280;1104;281;19970;4025
Dallas Baptist University;Doctor's degree  research scholarship;Private not-for-profit;2631;1113;492;22350;5422
Hastings College;Master's degree;Private not-for-profit;1529;1126;345;25520;1144
University of Dubuque;Doctor's degree  research scholarship;Private not-for-profit;1457;1128;447;25520;2023
Greenville College;Master's degree;Private not-for-profit;1723;1132;277;23612;1368
Amherst College;Bachelor's degree;Private not-for-profit;7927;1132;466;46574;1785
University of Arkansas at Pine Bluff;Doctor's degree  research scholarship;Public;4094;1134;568;5938;2615
Massachusetts College of Liberal Arts;Master's degree;Public;1689;1135;313;8525;1716
Geneva College;Master's degree;Private not-for-profit;1670;1136;334;25220;1852
Dominican College of Blauvelt;Doctor's degree professional practice;Private not-for-profit;1594;1146;286;24790;1998
Washington and Lee University;Doctor's degree professional practice;Private not-for-profit;6222;1147;480;44507;2277
